nohup: ignoring input
4500000
(4500000, 1500)
('shape of sum array', (4500000,))
('shape of correlations', (1500, 4500000))
('sum of correlations, sum of row sums', 14300030, 14300030)
block_size_x=96, f_unroll=2, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 81.4794235229 ms.
block_size_x=96, f_unroll=2, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 56.0791816711 ms.
block_size_x=96, f_unroll=2, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 56.4268424988 ms.
block_size_x=96, f_unroll=2, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 101.474597168 ms.
block_size_x=96, f_unroll=2, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 132.529458618 ms.
block_size_x=96, f_unroll=3, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 85.8213439941 ms.
block_size_x=96, f_unroll=3, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 61.6478652954 ms.
block_size_x=96, f_unroll=3, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 57.7597503662 ms.
block_size_x=96, f_unroll=3, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 101.029710388 ms.
block_size_x=96, f_unroll=3, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 131.736941528 ms.
block_size_x=96, f_unroll=4, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 88.0230270386 ms.
block_size_x=96, f_unroll=4, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 65.3027633667 ms.
block_size_x=96, f_unroll=4, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 56.7679481506 ms.
block_size_x=96, f_unroll=4, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 106.185420227 ms.
block_size_x=96, f_unroll=4, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 132.029318237 ms.
block_size_x=96, f_unroll=5, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 87.1323196411 ms.
block_size_x=96, f_unroll=5, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 65.5344711304 ms.
block_size_x=96, f_unroll=5, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 58.1216827393 ms.
block_size_x=96, f_unroll=5, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 106.517503357 ms.
block_size_x=96, f_unroll=5, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 135.429992676 ms.
block_size_x=96, f_unroll=6, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 95.2329330444 ms.
block_size_x=96, f_unroll=6, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 69.0670211792 ms.
block_size_x=96, f_unroll=6, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 58.0013824463 ms.
block_size_x=96, f_unroll=6, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 106.606814575 ms.
block_size_x=96, f_unroll=6, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 131.859655762 ms.
block_size_x=96, f_unroll=10, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 92.6177536011 ms.
block_size_x=96, f_unroll=10, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 76.6870269775 ms.
block_size_x=96, f_unroll=10, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 60.9035964966 ms.
block_size_x=96, f_unroll=10, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 107.040499878 ms.
block_size_x=96, f_unroll=10, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 132.199081421 ms.
block_size_x=96, f_unroll=12, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 91.7614654541 ms.
block_size_x=96, f_unroll=12, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 79.068913269 ms.
block_size_x=96, f_unroll=12, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 61.9761154175 ms.
