nohup: ignoring input
4500000
(4500000, 1500)
('hits ', 14321674, 14321674)
block_size_x=64, f_unroll=3, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 66.7911605835 ms.
block_size_x=64, f_unroll=3, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 109.184831238 ms.
block_size_x=64, f_unroll=3, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 100.368077087 ms.
block_size_x=64, f_unroll=3, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 190.916708374 ms.
block_size_x=64, f_unroll=4, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 75.6945922852 ms.
block_size_x=64, f_unroll=4, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 70.8054779053 ms.
block_size_x=64, f_unroll=4, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 109.687290955 ms.
block_size_x=64, f_unroll=4, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 100.054598999 ms.
block_size_x=64, f_unroll=4, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 190.406387329 ms.
block_size_x=64, f_unroll=4, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 75.693031311 ms.
block_size_x=64, f_unroll=4, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 70.7888397217 ms.
block_size_x=64, f_unroll=4, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 109.677313232 ms.
block_size_x=64, f_unroll=4, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 100.038754272 ms.
block_size_x=64, f_unroll=4, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 192.301834106 ms.
block_size_x=64, f_unroll=5, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 68.2483001709 ms.
block_size_x=64, f_unroll=5, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 75.766796875 ms.
block_size_x=64, f_unroll=5, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 110.041555786 ms.
block_size_x=64, f_unroll=5, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 99.8978225708 ms.
